"B27001_016M","Margin of Error!!Total!!Male!!35 to 44 years!!With health insurance coverage",
"B27001_017E","Estimate!!Total!!Male!!35 to 44 years!!No health insurance coverage",
"B27001_017M","Margin of Error!!Total!!Male!!35 to 44 years!!No health insurance coverage",
"B27001_018E","Estimate!!Total!!Male!!45 to 54 years",
"B27001_018M","Margin of Error!!Total!!Male!!45 to 54 years",
"B27001_019E","Estimate!!Total!!Male!!45 to 54 years!!With health insurance coverage",
"B27001_019M","Margin of Error!!Total!!Male!!45 to 54 years!!With health insurance coverage",
"B27001_020E","Estimate!!Total!!Male!!45 to 54 years!!No health insurance coverage",
"B27001_020M","Margin of Error!!Total!!Male!!45 to 54 years!!No health insurance coverage",
"B27001_021E","Estimate!!Total!!Male!!55 to 64 years",
"B27001_021M","Margin of Error!!Total!!Male!!55 to 64 years",
"B27001_022E","Estimate!!Total!!Male!!55 to 64 years!!With health insurance coverage",
"B27001_022M","Margin of Error!!Total!!Male!!55 to 64 years!!With health insurance coverage",
"B27001_023E","Estimate!!Total!!Male!!55 to 64 years!!No health insurance coverage",
"B27001_023M","Margin of Error!!Total!!Male!!55 to 64 years!!No health insurance coverage",
"B27001_024E","Estimate!!Total!!Male!!65 to 74 years",
"B27001_024M","Margin of Error!!Total!!Male!!65 to 74 years",
"B27001_025E","Estimate!!Total!!Male!!65 to 74 years!!With health insurance coverage",
"B27001_025M","Margin of Error!!Total!!Male!!65 to 74 years!!With health insurance coverage",
"B27001_026E","Estimate!!Total!!Male!!65 to 74 years!!No health insurance coverage",
"B27001_026M","Margin of Error!!Total!!Male!!65 to 74 years!!No health insurance coverage",
"B27001_027E","Estimate!!Total!!Male!!75 years and over",
"B27001_027M","Margin of Error!!Total!!Male!!75 years and over",
"B27001_028E","Estimate!!Total!!Male!!75 years and over!!With health insurance coverage",
"B27001_028M","Margin of Error!!Total!!Male!!75 years and over!!With health insurance coverage",
"B27001_029E","Estimate!!Total!!Male!!75 years and over!!No health insurance coverage",
"B27001_029M","Margin of Error!!Total!!Male!!75 years and over!!No health insurance coverage",
"B27001_030E","Estimate!!Total!!Female",
"B27001_030M","Margin of Error!!Total!!Female",
"B27001_031E","Estimate!!Total!!Female!!Under 6 years",
"B27001_031M","Margin of Error!!Total!!Female!!Under 6 years",
"B27001_032E","Estimate!!Total!!Female!!Under 6 years!!With health insurance coverage",
"B27001_032M","Margin of Error!!Total!!Female!!Under 6 years!!With health insurance coverage",
"B27001_033E","Estimate!!Total!!Female!!Under 6 years!!No health insurance coverage",
"B27001_033M","Margin of Error!!Total!!Female!!Under 6 years!!No health insurance coverage",
"B27001_034E","Estimate!!Total!!Female!!6 to 17 years",
"B27001_034M","Margin of Error!!Total!!Female!!6 to 17 years",
"B27001_035E","Estimate!!Total!!Female!!6 to 17 years!!With health insurance coverage",
"B27001_035M","Margin of Error!!Total!!Female!!6 to 17 years!!With health insurance coverage",
"B27001_036E","Estimate!!Total!!Female!!6 to 17 years!!No health insurance coverage",
"B27001_036M","Margin of Error!!Total!!Female!!6 to 17 years!!No health insurance coverage",
"B27001_037E","Estimate!!Total!!Female!!18 to 24 years",
"B27001_037M","Margin of Error!!Total!!Female!!18 to 24 years",
"B27001_038E","Estimate!!Total!!Female!!18 to 24 years!!With health insurance coverage",
"B27001_038M","Margin of Error!!Total!!Female!!18 to 24 years!!With health insurance coverage",
"B27001_039E","Estimate!!Total!!Female!!18 to 24 years!!No health insurance coverage",
"B27001_039M","Margin of Error!!Total!!Female!!18 to 24 years!!No health insurance coverage",
"B27001_040E","Estimate!!Total!!Female!!25 to 34 years",
"B27001_040M","Margin of Error!!Total!!Female!!25 to 34 years",
"B27001_041E","Estimate!!Total!!Female!!25 to 34 years!!With health insurance coverage",
"B27001_041M","Margin of Error!!Total!!Female!!25 to 34 years!!With health insurance coverage",
"B27001_042E","Estimate!!Total!!Female!!25 to 34 years!!No health insurance coverage",
"B27001_042M","Margin of Error!!Total!!Female!!25 to 34 years!!No health insurance coverage",
"B27001_043E","Estimate!!Total!!Female!!35 to 44 years",
"B27001_043M","Margin of Error!!Total!!Female!!35 to 44 years",
"B27001_044E","Estimate!!Total!!Female!!35 to 44 years!!With health insurance coverage",
"B27001_044M","Margin of Error!!Total!!Female!!35 to 44 years!!With health insurance coverage",
"B27001_045E","Estimate!!Total!!Female!!35 to 44 years!!No health insurance coverage",
"B27001_045M","Margin of Error!!Total!!Female!!35 to 44 years!!No health insurance coverage",
"B27001_046E","Estimate!!Total!!Female!!45 to 54 years",
"B27001_046M","Margin of Error!!Total!!Female!!45 to 54 years",
"B27001_047E","Estimate!!Total!!Female!!45 to 54 years!!With health insurance coverage",
"B27001_047M","Margin of Error!!Total!!Female!!45 to 54 years!!With health insurance coverage",
"B27001_048E","Estimate!!Total!!Female!!45 to 54 years!!No health insurance coverage",
"B27001_048M","Margin of Error!!Total!!Female!!45 to 54 years!!No health insurance coverage",
"B27001_049E","Estimate!!Total!!Female!!55 to 64 years",
"B27001_049M","Margin of Error!!Total!!Female!!55 to 64 years",
"B27001_050E","Estimate!!Total!!Female!!55 to 64 years!!With health insurance coverage",
"B27001_050M","Margin of Error!!Total!!Female!!55 to 64 years!!With health insurance coverage",
"B27001_051E","Estimate!!Total!!Female!!55 to 64 years!!No health insurance coverage",
"B27001_051M","Margin of Error!!Total!!Female!!55 to 64 years!!No health insurance coverage",
"B27001_052E","Estimate!!Total!!Female!!65 to 74 years",
"B27001_052M","Margin of Error!!Total!!Female!!65 to 74 years",
"B27001_053E","Estimate!!Total!!Female!!65 to 74 years!!With health insurance coverage",
"B27001_053M","Margin of Error!!Total!!Female!!65 to 74 years!!With health insurance coverage",
"B27001_054E","Estimate!!Total!!Female!!65 to 74 years!!No health insurance coverage",
"B27001_054M","Margin of Error!!Total!!Female!!65 to 74 years!!No health insurance coverage",
"B27001_055E","Estimate!!Total!!Female!!75 years and over",
"B27001_055M","Margin of Error!!Total!!Female!!75 years and over",
"B27001_056E","Estimate!!Total!!Female!!75 years and over!!With health insurance coverage",
"B27001_056M","Margin of Error!!Total!!Female!!75 years and over!!With health insurance coverage",
"B27001_057E","Estimate!!Total!!Female!!75 years and over!!No health insurance coverage",
"B27001_057M","Margin of Error!!Total!!Female!!75 years and over!!No health insurance coverage",
